排名,电影名,年份,国家,类型,导演,演员,评论,评分,评价人数,点击数,名著改编
13,海上钢琴师,1998,意大利,剧情音乐,朱塞佩·托纳多雷,蒂姆·罗斯/...,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.3,1457420人评价,0,1
14,三傻大闹宝莱坞,2009,印度,剧情喜剧爱情歌舞,拉库马·希拉尼,阿米尔·汗/卡...,英俊版憨豆，高情商版谢耳朵。,9.2,1632297人评价,0,0
15,机器人总动员,2008,美国,科幻动画冒险,安德鲁·斯坦顿,本·贝尔特/艾丽...,小瓦力，大人生。,9.3,1149564人评价,0,1
16,放牛班的春天,2004,法国瑞士德国,剧情喜剧音乐,克里斯托夫·巴拉蒂,热拉尔·朱尼奥é...,天籁一般的童声，是最接近上帝的存在。 ,9.3,1134488人评价,0,1
17,无间道,2002,中国香港,剧情犯罪惊悚,刘伟强/麦兆辉,刘德华/梁朝伟/黄秋生,香港电影史上永不过时的杰作。,9.3,1127030人评价,0,1
18,疯狂动物城,2016,美国,喜剧动画冒险,拜伦·霍华德/瑞奇·摩尔,金妮弗·...,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,9.2,1622626人评价,0,0
19,大话西游之大圣娶亲,1995,中国香港中国大陆,喜剧爱情奇幻古装,刘镇伟,周星驰/吴孟达...,一生所爱。,9.2,1329241人评价,0,1
20,熔炉,2011,韩国,剧情,黄东赫-,孔侑/郑有美-/...,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.3,807729人评价,0,1
21,教父,1972,美国,剧情犯罪,弗朗西斯·福特·科波拉,马龙·白兰度...,千万不要记恨你的对手，这样会让你失去理智。,9.3,812658人评价,1,1
22,当幸福来敲门,2006,美国,剧情传记家庭,加布里尔·穆奇诺,威尔·史密斯...,平民励志片。 ,9.1,1317262人评价,0,0
23,龙猫,1988,日本,动画奇幻冒险,宫崎骏,日高法子/坂本千夏...,人人心中都有个龙猫，童年就永远不会消失。,9.2,1100041人评价,1,0
24,控方证人,1957,美国,剧情犯罪悬疑,比利·怀尔德,泰隆·鲍华/玛琳·...,比利·怀德满分作品。,9.6,405308人评价,0,0
25,怦然心动,2010,美国,剧情喜剧爱情,罗伯·莱纳,玛德琳·卡罗尔/卡...,真正的幸福是来自内心深处。,9.1,1573549人评价,0,0
26,触不可及,2011,法国,剧情喜剧,奥利维·那卡什/艾力克·托兰达主...,,满满温情的高雅喜剧。,9.3,887262人评价,0,0
